اسم الدولة,اسم الدولة الرسمي,مفتاح الهاتف,الرمز,العاصمة,القارة,المساحة,الخريطة,عدد السكان,العلم,الشعار
أرمينيا,جمهورية أرمينيا,374,ARM,يريفان,آسيا,29743,https://goo.gl/maps/azWUtK9bUQYEyccbA,2963234,https://flagcdn.com/am.svg,https://mainfacts.com/media/images/coats_of_arms/am.svg
أروبا,أروبا,297,ABW,اورانجستاد,الأمريكتين,180,https://goo.gl/maps/8hopbQqifHAgyZyg8,106766,https://flagcdn.com/aw.svg,https://mainfacts.com/media/images/coats_of_arms/aw.svg
أستراليا,كومنولث أستراليا,61,AUS,كانبيرا,أوقيانوسيا,7692024,https://goo.gl/maps/DcjaDa7UbhnZTndH6,25687041,https://flagcdn.com/au.svg,https://mainfacts.com/media/images/coats_of_arms/au.svg
النمسا,جمهورية النمسا,43,AUT,فيينا,أوروبا,83871,https://goo.gl/maps/pCWpWQhznHyRzQcu9,8917205,https://flagcdn.com/at.svg,https://mainfacts.com/media/images/coats_of_arms/at.svg
أذربيجان,جمهورية أذربيجان,994,AZE,باكو,آسيا,86600,https://goo.gl/maps/az3Zz7ar2aoB9AUc6,10110116,https://flagcdn.com/az.svg,https://mainfacts.com/media/images/coats_of_arms/az.svg
جزر البهاما,كومنولث جزر البهاما,1-242,BHS,ناساو,الأمريكتين,13943,https://goo.gl/maps/1YzRs1BZrG8p8pmVA,393248,https://flagcdn.com/bs.svg,https://mainfacts.com/media/images/coats_of_arms/bs.svg
البحرين,مملكة البحرين,973,BHR,المنامة,آسيا,765,https://goo.gl/maps/5Zue99Zc6vFBHxzJ7,1701583,https://flagcdn.com/bh.svg,https://mainfacts.com/media/images/coats_of_arms/bh.svg
بنغلاديش,جمهورية بنغلاديش الشعبية,880,BGD,دكا,آسيا,147570,https://goo.gl/maps/op6gmLbHcvv6rLhH6,164689383,https://flagcdn.com/bd.svg,https://mainfacts.com/media/images/coats_of_arms/bd.svg
بربادوس,بربادوس,1-246,BRB,بريدجتاون,الأمريكتين,430,https://goo.gl/maps/2m36v8STvbGAWd9c7,287371,https://flagcdn.com/bb.svg,https://mainfacts.com/media/images/coats_of_arms/bb.svg
بيلاروسيا,جمهورية بيلاروسيا,375,BLR,مينسك,أوروبا,207600,https://goo.gl/maps/PJUDU3EBPSszCQcu6,9398861,https://flagcdn.com/by.svg,https://mainfacts.com/media/images/coats_of_arms/by.svg
بلجيكا,مملكة بلجيكا,32,BEL,بروكسل,أوروبا,30528,https://goo.gl/maps/UQQzat85TCtPRXAL8,11555997,https://flagcdn.com/be.svg,https://mainfacts.com/media/images/coats_of_arms/be.svg
بليز,بليز,501,BLZ,بلموبان,الأمريكتين,22966,https://goo.gl/maps/jdCccpdLodm1uTmo9,397621,https://flagcdn.com/bz.svg,https://mainfacts.com/media/images/coats_of_arms/bz.svg
بنين,جمهورية بنين,229,BEN,بورتو نوفو,أفريقيا,112622,https://goo.gl/maps/uMw1BsHEXQYgVFFu6,12123198,https://flagcdn.com/bj.svg,https://mainfacts.com/media/images/coats_of_arms/bj.svg
برمودا,برمودا,1-441,BMU,هاميلتون,الأمريكتين,54,https://goo.gl/maps/NLsRGNjTzDghTtAJA,63903,https://flagcdn.com/bm.svg,https://mainfacts.com/media/images/coats_of_arms/bm.svg
بوتان,مملكة بوتان,975,BTN,تيمفو,آسيا,38394,https://goo.gl/maps/VEfXXBftTFLUpNgp8,771612,https://flagcdn.com/bt.svg,https://mainfacts.com/media/images/coats_of_arms/bt.svg
بوليفيا,دولة بوليفيا المتعددة,591,BOL,سوكري,الأمريكتين,1098581,https://goo.gl/maps/9DfnyfbxNM2g5U9b9,11673029,https://flagcdn.com/bo.svg,https://mainfacts.com/media/images/coats_of_arms/bo.svg
البوسنة والهرسك,البوسنة والهرسك,387,BIH,سراييفو,أوروبا,51209,https://www.google.com/maps/place/Bosnia+and+Herzegovina,3280815,https://flagcdn.com/ba.svg,https://mainfacts.com/media/images/coats_of_arms/ba.svg
بوتسوانا,جمهورية بوتسوانا,267,BWA,غابورون,أفريقيا,582000,https://goo.gl/maps/E364KeLy6N4JwxwQ8,2351625,https://flagcdn.com/bw.svg,https://mainfacts.com/media/images/coats_of_arms/bw.svg
البرازيل,جمهورية البرازيل الاتحادية,55,BRA,برازيليا,الأمريكتين,8515767,https://goo.gl/maps/waCKk21HeeqFzkNC9,212559409,https://flagcdn.com/br.svg,https://mainfacts.com/media/images/coats_of_arms/br.svg
إقليم المحيط البريطاني الهندي,إقليم المحيط البريطاني الهندي,246,IOT,دييغو غارسيا,أفريقيا,60,https://goo.gl/maps/bheNucgekVEYozoi6,3000,https://flagcdn.com/io.svg,
بروناي,أمة بروناي، دار السلام,673,BRN,بندر سيري بيغاوان,آسيا,5765,https://goo.gl/maps/4jb4CqBXhr8vNh579,437483,https://flagcdn.com/bn.svg,https://mainfacts.com/media/images/coats_of_arms/bn.svg
بلغاريا,جمهورية بلغاريا,359,BGR,صوفيا,أوروبا,110879,https://goo.gl/maps/F5uAhDGWzc3BrHfm9,6927288,https://flagcdn.com/bg.svg,https://mainfacts.com/media/images/coats_of_arms/bg.svg
بوركينا فاسو,بوركينا فاسو,226,BFA,واغادوغو,أفريقيا,272967,https://goo.gl/maps/rKRmpcMbFher2ozb7,20903278,https://flagcdn.com/bf.svg,https://mainfacts.com/media/images/coats_of_arms/bf.svg
بوروندي,جمهورية بوروندي,257,BDI,جيتيجا,أفريقيا,27834,https://goo.gl/maps/RXPWoRrB9tfrJpUG7,11890781,https://flagcdn.com/bi.svg,https://mainfacts.com/media/images/coats_of_arms/bi.svg
كمبوديا,مملكة كمبوديا,855,KHM,بنوم بنه,آسيا,181035,https://goo.gl/maps/nztQtFSrUXZymJaW8,16718971,https://flagcdn.com/kh.svg,https://mainfacts.com/media/images/coats_of_arms/kh.svg
الكاميرون,جمهورية الكاميرون,237,CMR,ياوندي,أفريقيا,475442,https://goo.gl/maps/JqiipHgFboG3rBJh9,26545864,https://flagcdn.com/cm.svg,https://mainfacts.com/media/images/coats_of_arms/cm.svg
كندا,كندا,1,CAN,أوتاوا,الأمريكتين,9984670,https://goo.gl/maps/jmEVLugreeqiZXxbA,38005238,https://flagcdn.com/ca.svg,https://mainfacts.com/media/images/coats_of_arms/ca.svg
الرأس الأخضر,جمهورية كابو فيردي,238,CPV,برايا,أفريقيا,4033,https://goo.gl/maps/Kc9vy5ChjuiAgMfXA,555988,https://flagcdn.com/cv.svg,https://mainfacts.com/media/images/coats_of_arms/cv.svg
جمهورية افريقيا الوسطى,جمهورية افريقيا الوسطى,236,CAF,بانغي,أفريقيا,622984,https://goo.gl/maps/51V8dsi2rGYC9n3c9,4829764,https://flagcdn.com/cf.svg,https://mainfacts.com/media/images/coats_of_arms/cf.svg
تشاد,جمهورية تشاد,235,TCD,إنجامينا,أفريقيا,1284000,https://goo.gl/maps/ziUdAZ8skuNfx5Hx7,16425859,https://flagcdn.com/td.svg,https://mainfacts.com/media/images/coats_of_arms/td.svg
شيلي,جمهورية شيلي,56,CHL,سانتياغو,الأمريكتين,756102,https://goo.gl/maps/XboxyNHh2fAjCPNn9,19116209,https://flagcdn.com/cl.svg,https://mainfacts.com/media/images/coats_of_arms/cl.svg
الصين,جمهورية الصين الشعبية,86,CHN,بيجين,آسيا,9706961,https://goo.gl/maps/p9qC6vgiFRRXzvGi7,1402112000,https://flagcdn.com/cn.svg,https://mainfacts.com/media/images/coats_of_arms/cn.svg
جزر كوكوس (كيلينغ),إقليم جزر كوكوس (كيلينغ),61,CCK,جزيرة ويست,أوقيانوسيا,14,https://goo.gl/maps/3eCdKVpVfMcZyKcK6,544,https://flagcdn.com/cc.svg,
كولومبيا,جمهورية كولومبيا,57,COL,بوجوتا,الأمريكتين,1141748,https://goo.gl/maps/RdwTG8e7gPwS62oR6,50882884,https://flagcdn.com/co.svg,https://mainfacts.com/media/images/coats_of_arms/co.svg
جزر القمر,اتحاد جزر القمر,269,COM,موروني,أفريقيا,1862,https://goo.gl/maps/eas4GP28C1GyStnu6,869595,https://flagcdn.com/km.svg,https://mainfacts.com/media/images/coats_of_arms/km.svg
كوستا ريكا,جمهورية كوستاريكا,506,CRI,سان خوسيه,الأمريكتين,51100,https://goo.gl/maps/RFiwytjvNrpfKN7k6,5094114,https://flagcdn.com/cr.svg,https://mainfacts.com/media/images/coats_of_arms/cr.svg
كرواتيا,جمهورية كرواتيا,385,HRV,زغرب.,أوروبا,56594,https://goo.gl/maps/qSG6xTKUmrYpwmGQ6,4047200,https://flagcdn.com/hr.svg,https://mainfacts.com/media/images/coats_of_arms/hr.svg
كوبا,جمهورية كوبا,53,CUB,هافانا,الأمريكتين,109884,https://goo.gl/maps/1dDw1QfZspfMUTm99,11326616,https://flagcdn.com/cu.svg,https://mainfacts.com/media/images/coats_of_arms/cu.svg
كوراكاو,بلد كورراو,599,CUW,ويلمستاد,الأمريكتين,444,https://goo.gl/maps/9D3hTeA3qKaRT7S16,155014,https://flagcdn.com/cw.svg,https://mainfacts.com/media/images/coats_of_arms/cw.svg
قبرص,جمهورية قبرص,357,CYP,نيقوسيا,أوروبا,9251,https://goo.gl/maps/77hPBRdLid8yD5Bm7,1207361,https://flagcdn.com/cy.svg,https://mainfacts.com/media/images/coats_of_arms/cy.svg
الجمهورية التشيكية,الجمهورية التشيكية,420,CZE,براغ,أوروبا,78865,https://goo.gl/maps/47dmgeXMZyhDHyQW8,10698896,https://flagcdn.com/cz.svg,https://mainfacts.com/media/images/coats_of_arms/cz.svg
الدنمارك,مملكة الدنمارك,45,DNK,كوبنهاغن,أوروبا,43094,https://goo.gl/maps/UddGPN7hAyrtpFiT6,5831404,https://flagcdn.com/dk.svg,https://mainfacts.com/media/images/coats_of_arms/dk.svg
جيبوتي,جمهورية جيبوتي,253,DJI,جيبوتي,أفريقيا,23200,https://goo.gl/maps/V1HWfzN3bS1kwf4C6,988002,https://flagcdn.com/dj.svg,https://mainfacts.com/media/images/coats_of_arms/dj.svg
دومينيكا,كومنولث دومينيكا,1-767,DMA,روزو,الأمريكتين,751,https://goo.gl/maps/HSKdHYpFC8oHHuyV7,71991,https://flagcdn.com/dm.svg,https://mainfacts.com/media/images/coats_of_arms/dm.svg
جمهورية الدومنيكان,جمهورية الدومنيكان,"1-809, 1-829, 1-849",DOM,سانتو دومينغو,الأمريكتين,48671,https://goo.gl/maps/soxooTHxEeiAbn3UA,10847904,https://flagcdn.com/do.svg,https://mainfacts.com/media/images/coats_of_arms/do.svg
جمهورية الكونغو الديموقراطية,جمهورية الكونغو الديموقراطية,243,COD,كينشاسا,أفريقيا,2344858,https://goo.gl/maps/KfhNVn6VqdZXWu8n9,89561404,https://flagcdn.com/cd.svg,https://mainfacts.com/media/images/coats_of_arms/cd.svg
الإكوادور,جمهورية الاكوادور,593,ECU,كيتو,الأمريكتين,276841,https://goo.gl/maps/TbX8hUW4gcbRPZiK7,17643060,https://flagcdn.com/ec.svg,https://mainfacts.com/media/images/coats_of_arms/ec.svg
مصر,جمهورية مصر العربية,20,EGY,القاهرة,أفريقيا,1002450,https://goo.gl/maps/uoDRhXbsqjG6L7VG7,102334403,https://flagcdn.com/eg.svg,https://mainfacts.com/media/images/coats_of_arms/eg.svg
السلفادور,جمهورية السلفادور,503,SLV,سان سلفادور,الأمريكتين,21041,https://goo.gl/maps/cZnCEi5sEMQtKKcB7,6486201,https://flagcdn.com/sv.svg,https://mainfacts.com/media/images/coats_of_arms/sv.svg
غينيا الإستوائية,جمهورية غينيا الاستوائية,240,GNQ,مالابو,أفريقيا,28051,https://goo.gl/maps/ucWfFd8aW1FbGMva9,1402985,https://flagcdn.com/gq.svg,https://mainfacts.com/media/images/coats_of_arms/gq.svg
إريتريا,دولة إريتريا,291,ERI,أسمرة,أفريقيا,117600,https://goo.gl/maps/HRyqUpnPwwG6jY5j6,5352000,https://flagcdn.com/er.svg,https://mainfacts.com/media/images/coats_of_arms/er.svg
إستونيا,جمهورية إستونيا,372,EST,تالين,أوروبا,45227,https://goo.gl/maps/6SsynwGUodL1sDvq8,1331057,https://flagcdn.com/ee.svg,https://mainfacts.com/media/images/coats_of_arms/ee.svg
إسواتيني,مملكة إسواتيني,268,SWZ,مباباني,أفريقيا,17364,https://goo.gl/maps/cUY79eqQihFSE8hV6,1160164,https://flagcdn.com/sz.svg,
أثيوبيا,جمهورية إثيوبيا الديمقراطية الاتحادية,251,ETH,اديس ابابا,أفريقيا,1104300,https://goo.gl/maps/2Q4hQWCbhuZLj3fG6,114963583,https://flagcdn.com/et.svg,https://mainfacts.com/media/images/coats_of_arms/et.svg
جزر فوكلاند,جزر فوكلاند,500,FLK,ستانلي,الأمريكتين,12173,https://goo.gl/maps/TZH1x7AGanQKifNk7,2563,https://flagcdn.com/fk.svg,https://mainfacts.com/media/images/coats_of_arms/fk.svg
فيجي,جمهورية فيجي,679,FJI,سوفا,أوقيانوسيا,18272,https://goo.gl/maps/r9fhDqoLZdg1zmE99,896444,https://flagcdn.com/fj.svg,https://mainfacts.com/media/images/coats_of_arms/fj.svg
فنلندا,جمهورية فنلندا,358,FIN,هلسنكي,أوروبا,338424,https://goo.gl/maps/HjgWDCNKRAYHrkMn8,5530719,https://flagcdn.com/fi.svg,https://mainfacts.com/media/images/coats_of_arms/fi.svg
فرنسا,الجمهورية الفرنسية,33,FRA,باريس,أوروبا,551695,https://goo.gl/maps/g7QxxSFsWyTPKuzd7,67391582,https://flagcdn.com/fr.svg,https://mainfacts.com/media/images/coats_of_arms/fr.svg
غيانا الفرنسية,غيانا,594,GUF,حريف,الأمريكتين,83534,https://goo.gl/maps/NJawFwMzG7YtCrVP7,254541,https://flagcdn.com/gf.svg,https://mainfacts.com/media/images/coats_of_arms/gf.svg
غابون,جمهورية غابونيز,241,GAB,ليبرفيل,أفريقيا,267668,https://www.openstreetmap.org/relation/192793,2225728,https://flagcdn.com/ga.svg,https://mainfacts.com/media/images/coats_of_arms/ga.svg
غامبيا,جمهورية غامبيا,220,GMB,بانجول,أفريقيا,10689,https://goo.gl/maps/bbGBCxxtfD2A9Z4m6,2416664,https://flagcdn.com/gm.svg,https://mainfacts.com/media/images/coats_of_arms/gm.svg
جورجيا,جورجيا,995,GEO,تبلّيسي,آسيا,69700,https://goo.gl/maps/bvCaGBePR1ZEDK5cA,3714000,https://flagcdn.com/ge.svg,https://mainfacts.com/media/images/coats_of_arms/ge.svg
ألمانيا,جمهورية ألمانيا الاتحادية,49,DEU,برلين,أوروبا,357114,https://goo.gl/maps/mD9FBMq1nvXUBrkv6,83240525,https://flagcdn.com/de.svg,https://mainfacts.com/media/images/coats_of_arms/de.svg
غانا,جمهورية غانا,233,GHA,أكرا,أفريقيا,238533,https://goo.gl/maps/Avy5RSmdsXFBaiXq8,31072945,https://flagcdn.com/gh.svg,https://mainfacts.com/media/images/coats_of_arms/gh.svg
جبل طارق,جبل طارق,350,GIB,جبل طارق,أوروبا,6,https://goo.gl/maps/CEoHAs1t6byCBhHFA,33691,https://flagcdn.com/gi.svg,https://mainfacts.com/media/images/coats_of_arms/gi.svg
اليونان,جمهورية اليونان,30,GRC,أثينا,أوروبا,131990,https://goo.gl/maps/LHGcAvuRyD2iKECC6,10715549,https://flagcdn.com/gr.svg,https://mainfacts.com/media/images/coats_of_arms/gr.svg
الأرض الخضراء,الأرض الخضراء,299,GRL,نوك,الأمريكتين,2166086,https://goo.gl/maps/j3289UPEQXt1ceSy8,56367,https://flagcdn.com/gl.svg,https://mainfacts.com/media/images/coats_of_arms/gl.svg
غرينادا,غرينادا,1-473,GRD,سانت جورج,الأمريكتين,344,https://goo.gl/maps/rqWyfUAt4xhvk1Zy9,112519,https://flagcdn.com/gd.svg,https://mainfacts.com/media/images/coats_of_arms/gd.svg
غواديلوب,غواديلوب,590,GLP,باسي- تيري,الأمريكتين,1628,https://goo.gl/maps/Dy9R2EufJtoWm8UN9,400132,https://flagcdn.com/gp.svg,https://mainfacts.com/media/images/coats_of_arms/gp.svg
غوام,غوام,1-671,GUM,هاغاتنا,أوقيانوسيا,549,https://goo.gl/maps/Xfnq2i279b18cH3C9,168783,https://flagcdn.com/gu.svg,https://mainfacts.com/media/images/coats_of_arms/gu.svg
غواتيمالا,جمهورية غواتيمالا,502,GTM,مدينة غواتيمالا,الأمريكتين,108889,https://goo.gl/maps/JoRAbem4Hxb9FYbVA,16858333,https://flagcdn.com/gt.svg,https://mainfacts.com/media/images/coats_of_arms/gt.svg
غيرنسي,Bailiwick من غيرنسي,44-1481,GGY,سانت بيتر ميناء,أوروبا,78,https://goo.gl/maps/6kXnQU5QvEZMD9VB7,62999,https://flagcdn.com/gg.svg,https://mainfacts.com/media/images/coats_of_arms/gg.svg
غينيا,جمهورية غينيا,224,GIN,كوناكري,أفريقيا,245857,https://goo.gl/maps/8J5oM5sA4Ayr1ZYGA,13132792,https://flagcdn.com/gn.svg,https://mainfacts.com/media/images/coats_of_arms/gn.svg
غينيا بيساو,جمهورية غينيا - بيساو,245,GNB,بيساو,أفريقيا,36125,https://goo.gl/maps/5Wyaz17miUc1zLc67,1967998,https://flagcdn.com/gw.svg,https://mainfacts.com/media/images/coats_of_arms/gw.svg
غيانا,جمهورية غيانا التعاونية,592,GUY,جورج تاون,الأمريكتين,214969,https://goo.gl/maps/DFsme2xEeugUAsCx5,786559,https://flagcdn.com/gy.svg,https://mainfacts.com/media/images/coats_of_arms/gy.svg
هايتي,جمهورية هايتي,509,HTI,بورت أو برنس,الأمريكتين,27750,https://goo.gl/maps/9o13xtjuUdqFnHbn9,11402533,https://flagcdn.com/ht.svg,https://mainfacts.com/media/images/coats_of_arms/ht.svg
هندوراس,جمهورية هندوراس,504,HND,تيجوسيجالبا,الأمريكتين,112492,https://goo.gl/maps/BbeJK8Sk2VkMHbdF8,9904608,https://flagcdn.com/hn.svg,https://mainfacts.com/media/images/coats_of_arms/hn.svg
هونج كونج,هونج كونج المنطقة الإدارية الخاصة لجمهورية الصين الشعبية,852,HKG,مدينة فيكتوريا,آسيا,1104,https://goo.gl/maps/1sEnNmT47ffrC8MU8,7500700,https://flagcdn.com/hk.svg,https://mainfacts.com/media/images/coats_of_arms/hk.svg
هنغاريا,هنغاريا,36,HUN,بودابست,أوروبا,93028,https://goo.gl/maps/9gfPupm5bffixiFJ6,9749763,https://flagcdn.com/hu.svg,https://mainfacts.com/media/images/coats_of_arms/hu.svg
أيسلندا,أيسلندا,354,ISL,ريكيافيك,أوروبا,103000,https://goo.gl/maps/WxFWSQuc3oamNxoE6,366425,https://flagcdn.com/is.svg,https://mainfacts.com/media/images/coats_of_arms/is.svg
الهند,جمهورية الهند,91,IND,نيو دلهي,آسيا,3287590,https://goo.gl/maps/WSk3fLwG4vtPQetp7,1380004385,https://flagcdn.com/in.svg,https://mainfacts.com/media/images/coats_of_arms/in.svg
إندونيسيا,جمهورية إندونيسيا,62,IDN,جاكرتا,آسيا,1904569,https://goo.gl/maps/a9mNpp6BjLkXaeNG6,273523621,https://flagcdn.com/id.svg,https://mainfacts.com/media/images/coats_of_arms/id.svg
إيران,جمهورية ايران الاسلامية,98,IRN,طهران,آسيا,1648195,https://goo.gl/maps/dMgEGuacBPGYQnjY7,83992953,https://flagcdn.com/ir.svg,https://mainfacts.com/media/images/coats_of_arms/ir.svg
العراق,جمهورية العراق,964,IRQ,بغداد,آسيا,438317,https://goo.gl/maps/iL8Bmy1sUCW9fUk18,40222503,https://flagcdn.com/iq.svg,https://mainfacts.com/media/images/coats_of_arms/iq.svg
أيرلندا,جمهورية ايرلندا,353,IRL,دبلن,أوروبا,70273,https://goo.gl/maps/hxd1BKxgpchStzQC6,4994724,https://flagcdn.com/ie.svg,https://mainfacts.com/media/images/coats_of_arms/ie.svg
جزيرة آيل أوف مان,جزيرة آيل أوف مان,44-1624,IMN,دوغلاس,أوروبا,572,https://goo.gl/maps/4DqVHDgVaFgnh8ZV8,85032,https://flagcdn.com/im.svg,https://mainfacts.com/media/images/coats_of_arms/im.svg
إسرائيل,دولة إسرائيل,972,ISR,بيت المقدس,آسيا,20770,https://goo.gl/maps/6UY1AH8XeafVwdC97,9216900,https://flagcdn.com/il.svg,https://mainfacts.com/media/images/coats_of_arms/il.svg
إيطاليا,الجمهورية الايطالية,39,ITA,روما,أوروبا,301336,https://goo.gl/maps/8M1K27TDj7StTRTq8,59554023,https://flagcdn.com/it.svg,https://mainfacts.com/media/images/coats_of_arms/it.svg
ساحل العاج,جمهورية كوت ديفوار,225,CIV,ياموسوكرو,أفريقيا,322463,https://goo.gl/maps/wKsmN7f5qAeNtGjP6,26378275,https://flagcdn.com/ci.svg,https://mainfacts.com/media/images/coats_of_arms/ci.svg
جامايكا,جامايكا,1-876,JAM,كينغستون,الأمريكتين,10991,https://goo.gl/maps/Z8mQ6jxnRQKFwJy9A,2961161,https://flagcdn.com/jm.svg,https://mainfacts.com/media/images/coats_of_arms/jm.svg
اليابان,اليابان,81,JPN,طوكيو,آسيا,377930,https://goo.gl/maps/NGTLSCSrA8bMrvnX9,125836021,https://flagcdn.com/jp.svg,https://mainfacts.com/media/images/coats_of_arms/jp.svg
جيرسي,Bailiwick من جيرسي,44-1534,JEY,سانت هيلير,أوروبا,116,https://goo.gl/maps/rXG8GZZtsqK92kTCA,100800,https://flagcdn.com/je.svg,https://mainfacts.com/media/images/coats_of_arms/je.svg
الأردن,المملكة الاردنية الهاشمية,962,JOR,عمان,آسيا,89342,https://goo.gl/maps/ko1dzSDKg8Gsi9A98,10203140,https://flagcdn.com/jo.svg,https://mainfacts.com/media/images/coats_of_arms/jo.svg
كازاخستان,جمهورية كازاخستان,7,KAZ,نور السلطان,آسيا,2724900,https://goo.gl/maps/8VohJGu7ShuzZYyeA,18754440,https://flagcdn.com/kz.svg,https://mainfacts.com/media/images/coats_of_arms/kz.svg
كينيا,جمهورية كينيا,254,KEN,نيروبي,أفريقيا,580367,https://goo.gl/maps/Ni9M7wcCxf8bJHLX8,53771300,https://flagcdn.com/ke.svg,https://mainfacts.com/media/images/coats_of_arms/ke.svg
كيريباتي,جمهورية كيريباتي مستقلة وصالحة,686,KIR,جنوب طراوا,أوقيانوسيا,811,https://goo.gl/maps/NBfYvrndW4skAimw9,119446,https://flagcdn.com/ki.svg,https://mainfacts.com/media/images/coats_of_arms/ki.svg
كوسوفو,جمهورية كوسوفو,383,UNK,بريشتينا,أوروبا,10908,https://goo.gl/maps/CSC4Yc8SWPgburuD9,1775378,https://flagcdn.com/xk.svg,https://mainfacts.com/media/images/coats_of_arms/xk.svg
الكويت,دولة الكويت,965,KWT,مدينة الكويت,آسيا,17818,https://goo.gl/maps/aqr3aNQjS1BAvksJ7,4270563,https://flagcdn.com/kw.svg,https://mainfacts.com/media/images/coats_of_arms/kw.svg
قيرغيزستان,جمهورية قيرغيزستان,996,KGZ,بيشكيك,آسيا,199951,https://goo.gl/maps/SKG8BSMMQVvxkRkB7,6591600,https://flagcdn.com/kg.svg,https://mainfacts.com/media/images/coats_of_arms/kg.svg
لاوس,جمهورية لاو الديمقراطية الشعبية,856,LAO,فينتيان,آسيا,236800,https://goo.gl/maps/F3asVB7sRKgSnwbE7,7275556,https://flagcdn.com/la.svg,https://mainfacts.com/media/images/coats_of_arms/la.svg
لاتفيا,جمهورية لاتفيا,371,LVA,ريغا,أوروبا,64559,https://goo.gl/maps/iQpUkH7ghq31ZtXe9,1901548,https://flagcdn.com/lv.svg,https://mainfacts.com/media/images/coats_of_arms/lv.svg
لبنان,الجمهورية اللبنانية,961,LBN,بيروت,آسيا,10452,https://goo.gl/maps/Sz5VCU8UFBqMyTdc9,6825442,https://flagcdn.com/lb.svg,https://mainfacts.com/media/images/coats_of_arms/lb.svg
ليسوتو,مملكة ليسوتو,266,LSO,ماسيرو,أفريقيا,30355,https://goo.gl/maps/H8gJi5mL4Cmd1SF28,2142252,https://flagcdn.com/ls.svg,https://mainfacts.com/media/images/coats_of_arms/ls.svg
ليبيريا,جمهورية ليبريا,231,LBR,مونروفيا,أفريقيا,111369,https://goo.gl/maps/4VsHsc2oeGeRL3wg6,5057677,https://flagcdn.com/lr.svg,https://mainfacts.com/media/images/coats_of_arms/lr.svg
ليبيا,دولة ليبيا,218,LBY,طرابلس,أفريقيا,1759540,https://goo.gl/maps/eLgGnaQWcJEdYRMy5,6871287,https://flagcdn.com/ly.svg,https://mainfacts.com/media/images/coats_of_arms/ly.svg
ليختنشتاين,إمارة ليختنشتاين,423,LIE,فادوز,أوروبا,160,https://goo.gl/maps/KNuHeiJzAPodwM7y6,38137,https://flagcdn.com/li.svg,https://mainfacts.com/media/images/coats_of_arms/li.svg
ليتوانيا,جمهورية ليتوانيا,370,LTU,فيلنيوس,أوروبا,65300,https://goo.gl/maps/dd1s9rrLjrK2G8yY6,2794700,https://flagcdn.com/lt.svg,https://mainfacts.com/media/images/coats_of_arms/lt.svg
