COUNTRY,COUNTRY CODE,ISO CODES,POPULATION,AREA KM2,GDP $USD
جمهورية الكونغو الديموقراطية,243,CD / COD,70916439,2345410,18.56 Billion
جنوب أفريقيا,27,ZA / ZAF,49000000,1219912,353.9 Billion
جنوب السودان,211,SS / SSD,8260490,644329,11.77 Billion
جورجيا,995,GE / GEO,4630000,69700,15.95 Billion
جيبوتي,253,DJ / DJI,740528,23000,1.459 Billion
جيرسي,44-1534,JE / JEY,90812,116,5.1 Billion
دولة قطر,974,QA / QAT,840926,11437,213.1 Billion
دومينيكا,1-767,DM / DMA,72813,754,495 Million
ديك رومى,90,TR / TUR,77804122,780580,821.8 Billion
رواندا,250,RW / RWA,11055976,26338,7.7 Billion
روسيا,7,RU / RUS,140702000,17100000,2.113 Trillion
رومانيا,40,RO / ROU,21959278,237500,188.9 Billion
زامبيا,260,ZM / ZMB,13460305,752614,22.24 Billion
زيمبابوي,263,ZW / ZWE,11651858,390580,10.48 Billion
ساحل العاج,225,CI / CIV,21058798,322460,28.28 Billion
ساموا,685,WS / WSM,192001,2944,705 Million
ساموا الأمريكية,1-684,AS / ASM,57881,199,462.2 Million
سان مارينو,378,SM / SMR,31477,61,1.866 Billion
سانت بارتيليمي,590,BL / BLM,8450,21,
سانت بيير وميكلون,508,PM / SPM,7012,242,215.3 Million
سانت فنسنت وجزر غرينادين,1-784,VC / VCT,104217,389,742 Million
سانت كيتس ونيفيس,1-869,KN / KNA,51134,261,767 Million
سانت هيلانة,290,SH / SHN,7460,410,
ساو تومي وبرينسيبي,239,ST / STP,175808,1001,311 Million
سفالبارد وجان ماين,47,SJ / SJM,2550,62049,
سلطنة عمان,968,OM / OMN,2967717,212460,81.95 Billion
سلوفاكيا,421,SK / SVK,5455000,48845,96.96 Billion
سلوفينيا,386,SI / SVN,2007000,20273,46.82 Billion
سنغافورة,65,SG / SGP,4701069,693,295.7 Billion
سوازيلاند,268,SZ / SWZ,1354051,17363,3.807 Billion
سوريا,963,SY / SYR,22198110,185180,64.7 Billion
سورينام,597,SR / SUR,492829,163270,5.009 Billion
سويسرا,41,CH / CHE,7581000,41290,646.2 Billion
سيرا ليون,232,SL / SLE,5245695,71740,4.607 Billion
سيريلانكا,94,LK / LKA,21513990,65610,65.12 Billion
سيشيل,248,SC / SYC,88340,455,1.271 Billion
سينت مارتن,1-721,SX / SXM,37429,34,794.7 Million
شيلي,56,CL / CHL,16746491,756950,281.7 Billion
صربيا,381,RS / SRB,7344847,88361,43.68 Billion
طاجيكستان,992,TJ / TJK,7487489,143100,8.513 Billion
غابون,241,GA / GAB,1545255,267667,19.97 Billion
غامبيا,220,GM / GMB,1593256,11300,896 Million
غانا,233,GH / GHA,24339838,239460,45.55 Billion
غرينادا,1-473,GD / GRD,107818,344,811 Million
غواتيمالا,502,GT / GTM,13550440,108890,53.9 Billion
غوام,1-671,GU / GUM,159358,549,4.6 Billion
غيانا,592,GY / GUY,748486,214970,3.02 Billion
غيرنسي,44-1481,GG / GGY,65228,78,2.742 Billion
غينيا,224,GN / GIN,10324025,245857,6.544 Billion
غينيا الإستوائية,240,GQ / GNQ,1014999,28051,17.08 Billion
غينيا بيساو,245,GW / GNB,1565126,36120,880 Million
فانواتو,678,VU / VUT,221552,12200,828 Million
فرنسا,33,FR / FRA,64768389,547030,2.739 Trillion
فلسطين,970,PS / PSE,3800000,5970,6.641 Billion
فنزويلا,58,VE / VEN,27223228,912050,367.5 Billion
فنلندا,358,FI / FIN,5244000,337030,259.6 Billion
فيتنام,84,VN / VNM,89571130,329560,170 Billion
فيجي,679,FJ / FJI,875983,18270,4.218 Billion
فيلبيني,63,PH / PHL,99900177,300000,272.2 Billion
قبرص,357,CY / CYP,1102677,9250,21.78 Billion
قيرغيزستان,996,KG / KGZ,5508626,198500,7.234 Billion
كازاخستان,7,KZ / KAZ,15340000,2717300,224.9 Billion
كاليدونيا الجديدة,687,NC / NCL,216494,19060,9.28 Billion
كرواتيا,385,HR / HRV,4491000,56542,59.14 Billion
كمبوديا,855,KH / KHM,14453680,181040,15.64 Billion
كندا,1,CA / CAN,33679000,9984670,1.825 Trillion
كوبا,53,CU / CUB,11423000,110860,72.3 Billion
كوراكاو,599,CW / CUW,141766,444,5.6 Billion
كوريا الجنوبية,82,KR / KOR,48422644,98480,1.198 Trillion
كوريا الشمالية,850,KP / PRK,22912177,120540,28 Billion
كوستا ريكا,506,CR / CRI,4516220,51100,48.51 Billion
كوسوفو,383,XK / XKX,1800000,10887,7.15 Billion
كولومبيا,57,CO / COL,47790000,1138910,369.2 Billion
كيريباتي,686,KI / KIR,92533,811,173 Million
كينيا,254,KE / KEN,40046566,582650,45.31 Billion
لاتفيا,371,LV / LVA,2217969,64589,30.38 Billion
لاوس,856,LA / LAO,6368162,236800,10.1 Billion
لبنان,961,LB / LBN,4125247,10400,43.49 Billion
لوكسمبورغ,352,LU / LUX,497538,2586,60.54 Billion
ليبيا,218,LY / LBY,6461454,1759540,70.92 Billion
ليبيريا,231,LR / LBR,3685076,111370,1.977 Billion
ليتوانيا,370,LT / LTU,2944459,65200,46.71 Billion
ليختنشتاين,423,LI / LIE,35000,160,5.113 Billion
ليسوتو,266,LS / LSO,1919552,30355,2.457 Billion
ماكاو,853,MO / MAC,449198,254,51.68 Billion
مالطا,356,MT / MLT,403000,316,9.541 Billion
مالي,223,ML / MLI,13796354,1240000,11.37 Billion
ماليزيا,60,MY / MYS,28274729,329750,312.4 Billion
مايوت,262,YT / MYT,159042,374,
مدغشقر,261,MG / MDG,21281844,587040,10.53 Billion
مصر,20,EG / EGY,80471869,1001450,262 Billion
مقدونيا,389,MK / MKD,2062294,25333,10.65 Billion
ملاوي,265,MW / MWI,15447500,118480,3.683 Billion
منغوليا,976,MN / MNG,3086918,1565000,11.14 Billion
موريتانيا,222,MR / MRT,3205060,1030700,4.183 Billion
موريشيوس,230,MU / MUS,1294104,2040,11.9 Billion
موزمبيق,258,MZ / MOZ,22061451,801590,14.67 Billion
مولدوفا,373,MD / MDA,4324000,33843,7.932 Billion
موناكو,377,MC / MCO,32965,2,5.748 Billion
مونتسيرات,1-664,MS / MSR,9341,102,
ميانمار,95,MM / MMR,53414374,678500,59.43 Billion
ميكرونيزيا,691,FM / FSM,107708,702,339 Million
ناميبيا,264,NA / NAM,2128471,825418,12.3 Billion
ناورو,674,NR / NRU,10065,21,
نيبال,977,NP / NPL,28951852,140800,19.34 Billion
نيجيريا,234,NG / NGA,154000000,923768,502 Billion
نيكاراغوا,505,NI / NIC,5995928,129494,11.26 Billion
نيوزيلندا,64,NZ / NZL,4252277,268680,181.1 Billion
نييوي,683,NU / NIU,2166,260,10.01 Million
هايتي,509,HT / HTI,9648924,27750,8.287 Billion
هندوراس,504,HN / HND,7989415,112090,18.88 Billion
هنغاريا,36,HU / HUN,9982000,93030,130.6 Billion
هولندا,31,NL / NLD,16645000,41526,722.3 Billion
هونج كونج,852,HK / HKG,6898686,1092,272.1 Billion
واليس وفوتونا,681,WF / WLF,16025,274,
